ensembl_transcript_id	refseq_id
ENST00000418003	NM_052967
ENST00000395145	NM_001306
ENST00000306243	NM_130468
ENST00000439435	NM_003868
ENST00000304725	NM_001322
ENST00000368143	NM_001010876
ENST00000231512	NM_020199
ENST00000479077	NM_001321950
ENST00000258383	NM_022915
ENST00000331428	NM_001318251
ENST00000331428	NM_175878
ENST00000306051	NM_000953
ENST00000361910	NM_019007
ENST00000522678	NM_001077191
ENST00000553372	NM_001281469
ENST00000555978	NM_032753
ENST00000519574	NM_001077194
ENST00000519574	NM_170699
ENST00000612907	NM_152582
ENST00000520439	NM_001282534
ENST00000538627	NM_001009584
ENST00000376560	NM_025263
ENST00000539247	NM_001184768
ENST00000555633	NM_001319074
ENST00000420283	NM_021648
ENST00000376557	NM_001077497
ENST00000435041	NM_016021
ENST00000242104	NM_001097622
ENST00000263269	NM_000836
ENST00000391411	NM_001113434
ENST00000245457	NM_000956
ENST00000283426	NM_052909
ENST00000304710	NM_001900
ENST00000399703	NM_147195
ENST00000370110	NM_006993
ENST00000374586	NM_032012
ENST00000629850	NM_006261
ENST00000327835	NM_001033723
ENST00000327669	NM_001077710
ENST00000357504	NM_001136536
ENST00000262487	NM_080826
ENST00000326771	NM_001322467
ENST00000326771	NM_001322466
ENST00000326771	NM_020482
ENST00000456874	NM_001170700
ENST00000541107	NM_001170807
ENST00000593948	NM_001301708
ENST00000506618	NM_175886
ENST00000436261	NM_001287349
ENST00000244217	NM_032601
ENST00000270077	NM_002784
ENST00000415517	NM_025257
ENST00000382292	NM_014363
ENST00000382292	NM_001278055
ENST00000291752	NM_001301709
ENST00000438528	NM_001135676
ENST00000443718	NM_001301707
ENST00000380003	NM_018325
ENST00000396650	NM_197955
ENST00000502346	NM_174909
ENST00000621710	NM_019841
ENST00000344119	NM_198585
ENST00000417410	NM_001135675
ENST00000417410	NM_001135674
ENST00000414154	NM_138436
ENST00000547288	NM_001178045
ENST00000547493	NM_001178044
ENST00000344300	NM_032413
ENST00000319783	NM_030972
ENST00000379997	NM_145005
ENST00000628155	NM_000295
ENST00000371506	NM_001033113
ENST00000619707	NM_001256054
ENST00000388747	NM_001135219
ENST00000269389	NM_003004
ENST00000300432	NM_173492
ENST00000442898	NM_182905
ENST00000379982	NM_014899
ENST00000543227	NM_001161499
ENST00000540744	NM_001161500
ENST00000255641	NM_001319
ENST00000453741	NM_001161501
ENST00000261867	NM_013309
ENST00000399989	NM_001099921
ENST00000215909	NM_002305
ENST00000376621	NM_005275
ENST00000371657	NM_001257396
ENST00000297012	NM_170745
ENST00000297267	NM_032532
ENST00000265104	NM_001369
ENST00000618636	NM_001127700
ENST00000618636	NM_001002235
ENST00000620666	NM_001127702
ENST00000620666	NM_001127707
ENST00000620666	NM_001127706
ENST00000614317	NM_001127704
ENST00000614317	NM_001002236
ENST00000614317	NM_001127701
ENST00000614317	NM_001127703
ENST00000614317	NM_001127705
ENST00000354698	NM_016089
ENST00000246115	NM_003775
ENST00000619701	NM_001348191
ENST00000619701	NM_022169
ENST00000615496	NM_001142505
ENST00000274764	NM_170610
ENST00000428202	NM_001099271
ENST00000338635	NM_022406
ENST00000338635	NM_001318013
ENST00000338635	NM_001318012
ENST00000282881	NM_152590
ENST00000452085	NM_001080976
ENST00000621712	NM_001127610
ENST00000621712	NM_001701
ENST00000539744	NM_001256266
ENST00000340446	NM_032135
ENST00000225298	NM_016001
ENST00000251808	NM_001330593
ENST00000375006	NM_001271804
ENST00000375006	NM_002625
ENST00000342228	NM_006749
